"name","type","company","description","amount","notes"
"Jean-Marc Gabouty","financial","Info routage SAS","720000 EUR","60000 EUR",
"Jean-Marc Gabouty","financial","Régie Plus","1900 EUR",,
"Jean-Marc Gabouty","financial","Territoires graphiques","310000 EUR",,
"Jean-Marc Germain","financial",,,,
"Jean-Marie Beffara","financial",,,,
"Jean-Marie Bockel","financial",,,,
"Jean-Marie Morisset","financial","Crédit Agricole Charente-Maritime Deux-Sèvres","360 EUR","9 EUR par an","mention 2,45%"
"Jean-Marie Sermier","financial","GFA","19125 EUR",,"125 parts à 153 EUR"
"Jean-Marie Sermier","financial","GFA","19125 EUR",," 125 parts à 153 EUR"
"Jean-Marie Tetart","financial",,,,
"Jean-Marie Vanlerenberghe","financial",,,,
"Jean-Michel Clément","financial","SCI","100% du capital : 88 072 EUR",,
"Jean-Michel Clément","financial","SCI","50% du capital : 15 200 EUR",,
"Jean-Michel Clément","financial","SCI ","20 863 EUR (50% du capital)",,
"Jean-Michel Couve","financial","GCI (Green Capital Investment)","5000 EUR",,
"Jean-Michel Villaumé","financial",,,,
"Jean-Noël Cardoux","financial",,,,
"Jean-Noël Carpentier","financial",,,,
"Jean-Noël Guérini","financial","SOCOMA société anonyme coopérative Objet: manutention","22300 EUR","2014:  116,24 EUR","1% du cpaital"
"Jeanny Lorgeoux","financial",,,,
"Jean-Patrick Gille","financial",,,,
"Jean-Paul Bacquet","financial",,,,
"Jean-Paul Chanteguet","financial",,,,
"Jean-Paul Dupré","financial",,,,
"Jean-Paul Emorine","financial",,,,
"Jean-Paul Fournier","financial",,,,
"Jean-Paul Tuaiva","financial",,,,
"Jean-Philippe Nilor","financial",,,,
"Jean-Pierre Allossery","financial",,,,
"Jean-Pierre Barbier","financial","SARL Pharmacie Jean-Pierre Barbier","2013 : 1450000 EUR","2013 : 13500 EUR par an ","cf 2°"
"Jean-Pierre Barbier","financial","SARL Pharmacie Jean-Pierre Barbier","2015 : 1540000 EUR ","2015 :  36000 EUR par an ",
"Jean-Pierre Blazy","financial",,,,
"Jean-Pierre Bosino","financial",,,,
"Jean-Pierre Caffet","financial",,,,
"Jean-Pierre Cantegrit","financial","SARL ALCANTE","60 parts (4573,47 EUR)","Aucune (gestion de la location d'un local commercial)",
"Jean-Pierre Cantegrit","financial","SCI (censuré)","1 050 000 EUR","Perception de loyers (voir déclaration de revenus)",
"Jean-Pierre Cantegrit","financial","SCI (censuré)","1 220 000 EUR",,
"Jean-Pierre Cantegrit","financial","SCI (censuré)","550 000 EUR",,
"Jean-Pierre Cantegrit","financial","SCI (censuré)","20 000 EUR",,
"Jean-Pierre Cantegrit","financial","SCI (censuré)","17 562 EUR","Perception d'un droit d'affichage (voir déclaration de revenus)",
"Jean-Pierre Decool","financial",,,,
"Jean-Pierre Door","financial",,,,
"Jean-Pierre Dufau","financial",,,,
"Jean-Pierre Giran","financial",,,,
"Jean-Pierre Godefroy","financial",,,,
"Jean-Pierre Gorges","financial","SCI","7000 EUR ",,
"Jean-Pierre Gorges","financial","SCI","SCI en sommeil",,
"Jean-Pierre Gorges","financial","SCI","50 EUR",,
"Jean-Pierre Grand","financial","SCI","50%","2014 - 57500 EUR dividendes",
"Jean-Pierre Le Roch","financial",,,,
"Jean-pierre Leleux","financial","ENGINEERING SECURITY","5600 EUR",,
"Jean-pierre Leleux","financial","RIVIERA CREDIT SERVICES","11010 EUR soit 22% du capital",,
"Jean-Pierre Maggi","financial",,,,
"Jean-Pierre Masseret","financial",,,,
"Jean-Pierre Raffarin","financial",,,,
"Jean-Pierre Sueur","financial",,,,
"Jean-Pierre Vial","financial",,,,
"Jean-Pierre Vigier","financial",,,,
"Jean-pierre Vogel","financial","ALTEXA","7,92% du capital",,
"Jean-pierre Vogel","financial","GFA","100% du capital",,
"Jean-pierre Vogel","financial","SARL PHV","16,66% du capital",,
"Jean-pierre Vogel","financial","SAS Cabinet JP Vogel","100% du capital",,
"Jean-pierre Vogel","financial","SCI","26,19% du capital",,
"Jean-René Marsac","financial",,,,
"Jean-Sébastien Vialatte","financial",,,,
"Jean-Vincent Placé","financial",,,,
"Jean-Yves Caullet","financial",,,,
"Jean-Yves Le Bouillonnec","financial",,,,
"Jean-Yves Le Déaut","financial",,,,
"Jean-Yves Leconte","financial","GENERIK UKRAINA","100%","Aucune",
"Jean-Yves ROUX","financial",,,,
"Jérôme Bignon","financial","AQUARIUM","7000 EUR",,
"Jérôme Bignon","financial","PERIAL","264281 EUR",,
"Jérôme Chartier","financial","SAS Editions les Entretiens","500 EUR (100% du capital)",,
"Jérôme Durain","financial",,,,
"Jérôme Lambert","financial",,,,
"Joaquim Pueyo","financial",,,,
"Joël Giraud","financial",,,,
"Joël Guerriau","financial",,,,
"Joël Labbé","financial",,,,
"Joëlle Garriaud-Maylam","financial",,,,
"Joëlle Huillier","financial",,,,
"Jonas Tahuaitu","financial","Marama Nui (construction de barrages hydrauliques)","6 620,20 EUR (395 parts à 16,76 EUR)","2012 : 1 350,52 EUR (dividendes)","395 parts à 2000F soit : 790000F (dividendes : 161 160 FCP)"
"Joseph Castelli","financial","SCI","10000 EUR","Dissolution le 05/11/2012 Liquidation en cours",
"Josette Durrieu","financial","CREDIT AGRICOLE","15 titres","148,4 EUR",
"Josette Durrieu","financial","EADS ","7 titres","391,09 EUR",
"Josette Durrieu","financial","LCL sécurité 100 ","120 titres","12613,2 EUR",
"Josette Durrieu","financial","PEA",,"120,08 EUR",
"Josette Durrieu","financial","SANOFI-AVENTIS (27 titres)",,"2057,94 EUR ",
"Josette Durrieu","financial","SCI Crédit agricole","Apport : 10 EUR sur capital initial 1000 EUR le 27/06/2008",,"Associée DURRIEU Josette"
"Josette Pons","financial",,,,
"Julie Sommaruga","financial",,,,
"Julien Aubert","financial",,,,
"Kader Arif","financial",,,,
"Karine Berger","financial",,,,
"Karine Claireaux","financial",,,,
"Kheira Bouziane-Laroussi","financial","SCI","500 EUR",,
"Kléber Mesquida","financial",,,,
"Ladislas Poniatowski","financial","SA Galli Cot","92 000 EUR",,
"Lana Tetuanui","financial",,,,
"Laure de La Raudière","financial","MADISY EURL","7500 EUR (100%)",,"Capital détenu 7500 EUR-La société vaut son en-cours en trésorerie soit 8018 EUR au 28/01/2014 - Structure mise en sommeil le 04/11/2010"
"Laurence Abeille","financial",,,,
"Laurence Arribagé","financial",,,,
"Laurence Cohen","financial",,,,
"Laurence Dumont","financial",,,,
"Laurent Baumel","financial",,,,
"Laurent Cathala","financial",,,,
"Laurent Degallaix","financial",,,,
"Laurent Furst","financial",,,,
"Laurent Grandguillaume","financial",,,,
"Laurent Kalinowski","financial",,,,
"Laurent Marcangeli","financial",,,,
"Laurent Wauquiez","financial",,,,
"Leila Aïchi","financial","OBH consulting","4000 EUR",,
"Linda Gourjade","financial",,,,
"Lionel Tardy","financial","Président de la S.A.S LTI (Lionel Tardy Informatique) depuis le 01/01/2000",,,"Voir ma déclaration de patrimoine"
"Lionnel Luca","financial",,,,
"Loïc Hervé","financial",,,,
"Louis Duvernois","financial",,,,
"Louis Nègre","financial",,,,
"Louis Pinton","financial",,,,
"Louis-Jean de Nicolaÿ","financial","Soparma Finance Gestion de patrimoine","3240000 EUR",,"soit 90% de 3600000 EUR en nue-propriété"
"Luc Belot","financial",,,,
"Luc Carvounas","financial",,,,
"Luc Chatel","financial","Saint Dizier participation","10 actions en pleine propriété à 1,8 EUR, 41310 actions en nue propriété à 1,80 74 358 EUR, Evaluation 80% Soit 59 486 EUR",,
"Luce Pane","financial",,,,
"Lucette Lousteau","financial",,,,
"Lucien Degauchy","financial",,,,
"Maina Sage","financial",,,,
"Malek Boutih","financial",,,,
"Marc Daunis","financial",,,,
"Marc Dolez","financial","SA HLM SIA HABITAT 67 avenue des Potiers CS 80649 59506 DOUAI Cedex","Valeur totale: 390 EUR (valeur nominale des 10 actions: 39 EUR)","10 actions qui ont été cédées le 11/01/2014",
"Marc Francina","financial",,,,
"Marc Goua","financial","Atelier Férignac","Acquisition 677,55 EUR (non coté)",,
"Marc Goua","financial","Ateliers Perrault","Acquisition 65,25 EUR (non coté)",,
"Marc Goua","financial","Laurentaise de participation (holding)","Acquisition 112 EUR (non coté)",,
"Marc Laffineur","financial",,,,
"Marc Laménie","financial",,,,
"Marc Le Fur","financial",,,,
"Marcel Bonnot","financial",,,,
"Marcel Rogemont","financial",,,,
"Marc-Philippe Daubresse","financial",,,,
"Marianne Dubois","financial",,,,
"Marie Le Vern","financial","Publication à venir","Publication à venir","Publication à venir",
"Marie Mercier","financial","SA GCEP","55000 EUR soit 2453 actions soit 15,27 % du capital",,
"Marie Mercier","financial","SCI","20000 EUR soit 10% du capital et 6100 parts sociales",,
"Marie Recalde","financial",,,,
"Marie-Anne Chapdelaine","financial",,,,
"Marie-Annick Duchêne","financial",,,,
"Marie-Arlette Carlotti","financial","EADS-BNP Paribas",,,
"Marie-Christine Blandin","financial",,,,
"Marie-Christine Dalloz","financial",,,,
"Marie-France Beaufils","financial",,,,
"Marie-Françoise Bechtel","financial",,,,
"Marie-Françoise Clergeau","financial",,,,
"Marie-Françoise Perol-Dumont","financial",,,,
"Marie-George Buffet","financial",,,,
"Marie-Hélène Des Esgaulx","financial","SCI","1000 EUR",,
"Marie-Hélène Fabre","financial",,,,
"Marie-Jo Zimmermann","financial",,,,
"Marie-Line Reynaud","financial",,,,
"Marie-Lou Marcel","financial",,,,
"Marie-Louise Fort","financial",,,,
"Marie-Noëlle Battistel","financial","M.M.J Voyages","30997 EUR",,
"Marie-Noëlle Lienemann","financial","ALCATEL - LUCENT","150 EUR  (50 actions","le 23/01/2014 valeur de l'action 3.01 EUR soit 150 EUR",
"Marie-Noëlle Lienemann","financial","ORANGE","283 EUR (30 actions à 9,42 EUR)",,
"Marie-Odile Bouillé","financial",,,,
"Marie-Pierre Monier","financial","Compte titres ordinaire","1403 EUR","17 EUR par an",
"Marietta Karamanli","financial","SCI immobilière","1200 EUR",,"aucune prestation et ressource perçue par ladite société dédiée à la gestion d'un bien immobilier"
"Marion Maréchal-Le Pen","financial","SCI","61 000 EUR",,
"Marion Maréchal-Le Pen","financial","SCI","6100 EUR",,
"Marion Maréchal-Le Pen","financial","SCI","1800 EUR",,
"Martial Bourquin","financial",,,,
"Martial Saddier","financial",,,,
"Martine Carrillon-Couvreur","financial",,,,
"Martine Faure","financial",,,,
"Martine Lignières-Cassou","financial",,,,
"Martine Martinel","financial",,,,
"Maryvonne Blondin","financial",,,,
"Mathieu Darnaud","financial","Soparma Finance Gestion de patrimoine","360000 EUR",,"soit 10% de 3600000 EUR en pleine propriété"
"Mathieu Hanotin","financial","Via Civis (agence de voyage)","16 500 EUR (25 % du capital)",,
"Maud Olivier","financial",,,,
"Maurice Antiste","financial",,,,
"Maurice Leroy","financial",,,,
"Maurice Vincent","financial",,,,
"Meyer Habib","financial","S.A Meyer's (Société Holding) possède Vendraye S.A","2200000 Eur par an ","44000 EUR par an ","Salaire + Prime indiqués précédemment 1° - 250 000 FF valeur constitution "
"Michel Amiel","financial",,,,
"Michel Berson","financial",,,,
"Michel Billout","financial",,,,
"Michel Boutant","financial",,,,
"Michel Bouvard","financial","Groupement Foncier Forestier (Groupement forestier)",,,
"Michel Bouvard","financial","SCI familiale",,"Moins de 100 EUR par an","Voir déclaration de patrimoine < 100 EUR par an"
"Michel Bouvard","financial","SET AM  Société d'exploitation téléphérique Tarentaise Maurienne (Val Thorens)","1 action comme administrateur","10 EUR par an ",". Environ 10 EUR de dividende annuel"
"Michel Canevet","financial",,,,
"Michel Delebarre   ","financial","Crédit Coopératif agricole et Sofini","117580 EUR",,
"Michel Delebarre   ","financial","Sofini",,,
"Michel Destot","financial",,,,
"Michel Fontaine","financial","SCI 'x'","576000 EUR","2012: 69224 EUR (revenu foncier)",
"Michel Fontaine","financial","SCI 'y'","79000 EUR","2012: 5781 EUR (revenu foncier)",
"Michel Fontaine","financial","SELARL Centre Imagerie Médicale","544000 EUR","2012: 171215 EUR (salaire gérant)",
"Michel Forissier","financial",,,,
"Michel Françaix","financial",,,,
"Michel Heinrich","financial","CERP Lorraine","2640 EUR (330 actions à 16 EUR)","92,2 EUR",
"Michel Heinrich","financial","CERP Rhin Rhône Méditerranee","330065 EUR (2247 actions à 145 EUR au 31/12/2012)","6782,47 EUR","Valeur 31/12/2013 non connue à ce jour"
"Michel Herbillon","financial",,,,
"Michel Houel","financial",,,,
"Michel Issindou","financial",,,,
"Michel Le Scouarnec","financial",,,,
"Michel Lefait","financial",,,,
"Michel Lesage","financial",,,,
"Michel Liebgott","financial",,,,
"Michel Magras","financial",,,,
"Michel Ménard","financial",,,,
"Michel Mercier","financial",,,,
"Michel Pajon","financial",,,,
"Michel Piron","financial",,,,
"Michel Pouzol","financial",,,,
"Michel Raison","financial","Société d'abattage des Vosges Saônoises","100 EUR",,
"Michel Savin","financial",,,,
"Michel Sordi","financial","S.G.I.   SAS","525000 EUR",,
"Michel Terrot","financial",,,,
"Michel Vaspart","financial",,,,
"Michel Vauzelle","financial",,,,
"Michel Vergnier","financial",,,,
"Michel Vergoz","financial","SARL Evasion Réunion Production","240000 EUR (40%)",,
"Michel Voisin","financial",,,,
"Michel Zumkeller","financial","Cryoservice","2500 EUR",,
"Michèle André ","financial",,,,
"Michèle Bonneton","financial",,,,
"Michèle Delaunay","financial",,,,
"Michèle Fournier-Armand","financial",,,,
"Michèle Tabarot","financial",,,,
"Michelle Demessine","financial",,,,
"Michelle Meunier","financial",,,,
"Mireille Jouve","financial",,,,
"Monique Iborra","financial",,,,
"Monique Orphé","financial",,,,
"Monique Rabin","financial",,,,
"Napole Polutélé","financial",,,,
"Natacha Bouchart","financial",,,,
"Nathalie Appéré","financial",,,,
"Nathalie Chabanne","financial",,,,
"Nathalie Goulet","financial",,,,
"Nathalie Kosciusko-Morizet","financial",,,,
"Nathalie Nieson","financial","SCI","6000 EUR",,
"Nelly Tocqueville","financial",,,,
"Nicolas Bays","financial","Institut Supérieur des Elus ","2000 EUR ",,
"Nicolas Dhuicq","financial",,,,
"Nicolas Dupont-Aignan","financial",,,,
"Nicolas Sansu","financial",,,,
"Nicole Ameline","financial",,,,
"Nicole Bonnefoy","financial",,,,
"Nicole Bricq","financial","C Agricole SA","952, EUR (82 actions)",,
"Nicole Duranton","financial",,,,
"Noël Mamère","financial","GFA","253,18 EUR",,
"Noël Mamère","financial","GFA","30500 EUR",,
"Noël Mamère","financial","SCI","200 EUR",,
"Noël Mamère","financial","SCI","8125 EUR",,
"Nuihau Laurey","financial","Marama nui sa","335 EUR","6 EUR",
"Odette Herviaux","financial",,,,
"Odile Saugues","financial",,,,
"Olivier Audibert Troin","financial",,,,
"Olivier Cadic","financial","Cinebook Ltd - Editeur de bandes dessinées ","2071005 EUR",," 100% des actions soit 1500000 Livres S."
"Olivier Cadic","financial","Info Elec Ltd - Société de conseil en management","1518737 EUR",," 99% des actions soit 1100000 Livres S."
"Olivier Carré","financial","OC EURL (liquidée en 2013)","7 500 EUR","Boni de liquidation : 8 500 EUR",
"Olivier Cigolotti","financial",,,,
"Olivier Dassault","financial","HR FINANCE SASU dont le siège PARIS (75008)","7672,00 EUR",,
"Olivier Dassault","financial","SCI dont le siège est à PARIS","31919,00 EUR","31.420 EUR (revenus fonciers 2012)",
"Olivier Dassault","financial","SCI, société civile immobilière dont le siège est à PARIS","10000EUR",,
"Olivier Dassault","financial","SCI, société civile immobilière dont le siège est à PARIS","465000 EUR","2013 : 105.025 EUR","Revenus fonciers"
"Olivier Dassault","financial","SCI, société civile immobilière dont le siège est à PARIS (75116)","62100 EUR","2012 :  61.600 EUR ","Revenus fonciers"
"Olivier Dassault","financial","Société eGarming, société dont le siège est à PARIS (75008)",,,"Mémoire"
"Olivier Dassault","financial","Société GROUPE AXCESS, société dont le siège est à PARIS (75008)",,,"Mémoire"
"Olivier Dassault","financial","Société GROUPE INDUSTRIEL MARCEL DASSAULT SAS dont le siège social est à PARIS","15650271,00 EUR","525495 EUR (Rémunération de dirigeant plus dividendes (brut après prélèvements sociaux), jetons de présence)",
"Olivier Dassault","financial","Société INDEU CAPITAL, dont le siège est à PARIS",,,"Mémoire"
"Olivier Dassault","financial","Société MASTERJET, société de droit portugais dont le siège est à LISBONNE Avenida da Liberdade","180000 EUR",,
"Olivier Dassault","financial","Société NSIUM SAS, société dont le siège social est à PARIS (75008)",,,"Mémoire"
"Olivier Dassault","financial","Société ROND POINT IMMOBILIER, société dont le siège social est à PARIS","303586358 EUR","3131136 EUR (dividendes brut après prélèvements sociaux) ",
"Olivier Dassault","financial","Société SOLARVOLTAIC SA, société dont le siège est à PARIS (75008)",,,"Mémoire"
"Olivier Dassault","financial","Société TAXEO, société dont le siège social est à PARIS (75008)",,,"Mémoire"
"Olivier Dassault","financial","Société VIOLETTE 2008, dont le siège est à NEUVILLE SUR BRENNE (37110)",,,"Mémoire"
"Olivier Dussopt","financial",,,,
"Olivier Falorni","financial",,,,
"Olivier Faure","financial","Crédit Agricole ","16 EUR (1 action)",,
"Olivier Marleix","financial",,,,
"Paola Zanetti","financial","SARL Crée en 1999","Capital de départ fixé à 7500 EUR représentant 500 parts. Je détiens 63 parts à 40 EUR la part soit 2520 EUR",,
"Paola Zanetti","financial","SCI Créée en octobre 2003","350 EUR (350 à 1 EUR la part)",,
"Pascal Allizard","financial",,,,
"Pascal Cherki","financial",,,,
"Pascal Deguilhem","financial",,,,
"Pascal Demarthe","financial",,,,
"Pascal Popelin","financial",,,,
"Pascal Terrasse","financial",,,,
"Pascale Crozon","financial",,,,
"Pascale Got","financial",,,,
"Pascale Gruny","financial",,,,
"Patrice Carvalho","financial",,,,
"Patrice Martin-Lalande","financial",,,,
"Patrice Prat","financial","SARL HORTUS CONSEIL (50% des parts)","750 EUR",,
"Patrice Prat","financial","SARL MUTATIO PLAXIS","2000 EUR (capital social)",,
"Patrice Prat","financial","SCI ","30000 EUR (parts détenues à 50%)",,"Bien familial -  Valeur du bien ~ 60000 EUR"
"Patrice Verchère","financial",,,,
"Patricia Adam","financial",,,,
"Patricia Morhet-Richaud","financial","Sud assistance voirie","3100 EUR",,"NÉANT"
"Patricia Schillinger","financial",,,,
"Patrick Abate","financial",,,,
"Patrick Balkany","financial",,,,
"Patrick Bloche","financial",,,,
"Patrick Chaize","financial",,,,
"Patrick Devedjian","financial",,,,
"Patrick Hetzel","financial","SCI familiale","20000 EUR",,
"Patrick Hetzel","financial","SCI familiale","40000 EUR",,
"Patrick Labaune","financial",,,,
"Patrick Lebreton","financial",,,,
"Patrick Lemasle","financial",,,,
"Patrick Masclet","financial",,,,
"Patrick Mennucci","financial",,,,
"Patrick Ollier","financial",,,,
"Patrick Vignal","financial","SARL Acquaforme","50000 EUR pour 50% du capital",,
"Paul Giacobbi","financial","SA FEMU QUI (société de capital risque régional)","274,41 EUR",,
"Paul Molac","financial",,,,
"Paul Salen","financial",,,,
"Paul Vergès","financial",,,,
"Philip Cordery","financial",,,,
"Philippe Adnot","financial","PAMES","2000 EUR",,
"Philippe Armand Martin","financial","EARL","15000 parts (100% du capital)","18000 EUR par an (gérance art. 62)",
"Philippe Bas","financial",,,,
"Philippe Baumel ","financial",,,,
"Philippe Bies","financial","Habitat de l'IU (Coop HLM)","20 EUR",-0,
"Philippe Bies","financial","SOCOLOPO (COOP HLM)","20 EUR",,
"Philippe Bonnecarrère","financial","BPO  ","Quelques parts",,
"Philippe Bonnecarrère","financial","SCI propriétaire de l'immeuble dans lequel mon épouse exerce son activité de médecin","1/2 part = 75000 EUR ","2013 : 2566 EUR par an ","L'autre moitié est détenue par mon épouse)"
"Philippe Bonnecarrère","financial","SCI propriétaire de l'immeuble professionnel d'avocat","1/3 parts, 2033 parts à 89,18 EUR= 181302,94 EUR","2013: 5728 EUR par an ",
"Philippe Bonnecarrère","financial","SCP cabinet d'avocat BONNECARRERE GIL SERVIERES","1/3 parts = 111792 EUR ","Comme … telle que décrite, comme avocat au titre des dividende",
"Philippe Briand","financial","SAS Arche","120000000 EUR","101643 EUR par an (salaire)",
"Philippe Cochet","financial",,,,
"Philippe Dallier","financial",,,,
"Philippe Dominati","financial","ISADE SARL ",,,
"Philippe Dominati","financial","SID PARIS DEMAIN SARL",,,
"Philippe Dominati","financial","TELEPERFORMANCE.",,"PM",
"Philippe Doucet","financial",,,,
"Philippe Duron","financial",,,,
"Philippe Esnol","financial",,,,
"Philippe Folliot","financial",,,,
"Philippe Gomes","financial","SCI","Détention à 99%",,"Valeur vénale nulle à ce jour (La SCI est propriétaire d'un terrain sur lequel elle construit une maison d'habitation (construction en cours). L'acquisition de la Sci s'est faite au moyen d'un emprunt bancaire de 50 MF à l'origine. La construction est financée par un emprunt bancaire de 75 MF et un apport personnel de 67 MF) Détention 99%"
"Philippe Gomes","financial","Sci","133000000 EUR - Détention à 100 %",,"(La valeur mentionnée correspond à la valeur brute des immobilisations détenues (219 Millions) diminuée du capital restant dû sur les financements bancaires (86 Millions) sur la base des comptes au 30/09/2013) Détention 100 %"
"Philippe Gomes","financial","SCI SCI familiale constituée avec …","354 000 EUR, détention à 60 % ",,"Valeur estimée équivalent à la quote-part de la valeur d'acquisition"
"Philippe Gosselin","financial",,,,
"Philippe Goujon","financial",,,,
"Philippe Houillon","financial","SCP d'avocats PETIT MARSOT HOUILLON et associés (cabinet d'avocats)","88 397 EUR (1204 parts sur 8588 soit 14,02% à 73.42 EUR la part) ",,"Aucune rémunération distincte des revenus professionnels déclarés au paragraphe 2 ci-dessus."
"Philippe Kaltenbach","financial","Air Liquide","23256,00 EUR",,
"Philippe Kaltenbach","financial","Allianz SE","5956,80 EUR",,
"Philippe Kaltenbach","financial","Total","9110,63 EUR",,
"Philippe Kemel","financial",,,,
"Philippe Le Ray","financial","Ouest-Solution Thermique","2400 EUR",,
"Philippe Leroy","financial","ARKEMA","159,40 EUR (2 actions à 79,70 EUR)",,
"Philippe Leroy","financial","Atout EUROLAND D","51952,93 EUR (353,157 actions à 147,11 EUR)",,
"Philippe Leroy","financial","BNP Paaribas actions A","10190 EUR (182 actions à 55,99 EUR)",,
"Philippe Leroy","financial","BNPP ACT EUROLAND D FCP 3DEC","6681 EUR (380,2450 actions à 7,59 EUR)",,
"Philippe Leroy","financial","Crédit Agricole","7079,40 EUR (690 actions à 10,26 EUR)",,
"Philippe Leroy","financial","HSBC Holdings","4866,10 EUR (601 actions à 8,10 EUR)",,
"Philippe Leroy","financial","NAT.STRMIN VAR 4D","3438,96 EUR ( 6 actions à 573,16 EUR)",,
"Philippe Leroy","financial","ORANGE","1318,66 EUR (136 actions à 9,696 EUR)",,
"Philippe Leroy","financial","PSC CL SAULNOIS","139,50 EUR (93 actions à 1,50 EUR)",,
"Philippe Leroy","financial","Société Générale","5615,60 EUR (149 actions à 44,40 EUR)",,
"Philippe Leroy","financial","TOTAL ","3373 EUR (76 actions à 44,385 EUR)",,
"Philippe Madrelle","financial",,,,
"Philippe Martin","financial",,,,
"Philippe Meunier","financial",,,,
"Philippe Mouiller","financial","Crédit Mutuel - Moncoutant","8 EUR",,
"Philippe Mouiller","financial","NOUGEIN SA","9520938 EUR","895274 EUR par an","soit 1843 EUR par action, dont 2786616 EUR en pleine propriété et 6734322 EUR en usufruit"
"Philippe Nachbar","financial",,,,
"Philippe Nauche","financial",,,,
"Philippe Noguès","financial",,,,
"Philippe Paul","financial",,,,
"Philippe Plisson","financial",,,,
"Philippe Vigier","financial","SCI","100% capital",,
"Philippe Vigier","financial","SCI","50% capital",,
"Philippe Vitel","financial","SARL LYSA","12000 EUR valeur actuelle 14 252 EUR",,
"Pierre Aylagas","financial",,,,
"Pierre Camani","financial",,,,
"Pierre Charon","financial","SARL Janus Consultants","267,45 EUR ","2009 : 72.000 EUR (Dividendes)",
"Pierre Charon","financial","SARL Janus Consultants","267,45 EUR ","2010 : 81.144 EUR ",
"Pierre Charon","financial","SARL Janus Consultants","267,45 EUR ","2011 : 54.000 EUR ",
"Pierre Charon","financial","SARL Janus Consultants","267,45 EUR ","2012 : 72.072 EUR",
"Pierre Charon","financial","SARL Janus Consultants","267,45 EUR ","2013 : 31.500 EUR",
"Pierre Frogier","financial","Alma Immobilier SARL","54 470 EUR",,
"Pierre Frogier","financial","SNC Pierre Frogier - Marie Noelle Themereau (Agence Générale)","840000 EUR",,
"Pierre Laurent","financial",,,,
"Pierre Lellouche","financial",,,,
"Pierre Lequiller","financial",,,,
"Pierre Médevielle","financial","Caisse d'Epargne","2100 EUR parts de sociétaire",,
"Pierre Médevielle","financial","Compte titres ordinaire","277 EUR",,
"Pierre Médevielle","financial","Crédit Agricole de Boulogne",,,
"Pierre Médevielle","financial","Sarl LIBOTO","2500 EUR",,
"Pierre Médevielle","financial","SNC Pharmacie centrale de Boulogne","150000 EUR, 1/3 du capital ",,
"Pierre Médevielle","financial","TLM Matériel Médical","1000 EUR",,
"Pierre Morange","financial",,,,
"Pierre Morel-A-L'Huissier","financial",,,,
"Pierre Ribeaud","financial","Publication à venir","Publication à venir","Publication à venir",
"Pierre-Alain Muet","financial",,,,
"Pierre-Yves Collombat","financial","SA SB Conseil Restaurant Draguignan","110000 EUR",,
"Pierre-Yves Le Borgn'","financial","First Solar","73705 EUR",,
"Pouria Amirshahi","financial",,,,
"Rachel Mazuir","financial",,,,
"Raymond Vall","financial","Publication à venir","Publication à venir","Publication à venir",
"Razzy Hammadi","financial","HQB Conseil","150000 EUR",,"Cession de la totalité des parts de l'entreprise le 18/06/2012"
"Régine Povéda","financial",,,,
"Régis Juanico","financial",,,,
"Rémi Delatte","financial",,,,
"Rémi Pauvros","financial",,,,
"Rémy Pointereau","financial","SARL Agrotech Services","39 parts sur 50 parts - Valeur nominale : 152,44€ - Pas de valeur vénale connue","Revenu agricole Cf § n°1 et n°2",
"Rémy Pointereau","financial","SCEA","694 parts sur 712 parts - Valeur nominale : 152€ - Valeur vénale juillet 2012 : 577 €","Revenu agricole Cf § n°1 et n°2",
"René Danesi","financial",,,,
"René Dosière","financial",,,,
"René Rouquet","financial",,,,
"René Vandierendonck","financial",,,,
"René-Paul Savary","financial","BNP Paribas","1698,28 EUR","23,66 EUR",
"René-Paul Savary","financial","CCA Nord-Est","1370 EUR","17,5 EUR",
"René-Paul Savary","financial","PEA Air Liquide","7321,56 EUR","185 EUR",
"René-Paul Savary","financial","PEA EDF","1838,16 EUR","90 EUR",
"René-Paul Savary","financial","SAS Le Soleil","250 EUR",,
"René-Paul Savary","financial","SCI","50,00%",,"estimation en cours des loyers 2013"
"René-Paul Savary","financial","SCM","137 parts sur 412",,
"Richard Ferrand","financial","SCI",,,
"Richard Yung","financial",,,,
"Robert del Picchia","financial",,,,
"Robert Hue","financial",,,,
"Robert Laufoaulu ","financial",,,,
"Robert Navarro","financial",,,,
"Robert Olive","financial",,,,
"Roger Karoutchi","financial",,,,
"Roger Madec","financial"," S.A. HLM AXIMO","150 EUR (10 actions à 15 EUR) ",,"Bénéficiaire d'un prêt par Paris Habitat de 10 actions de la S.A. HLM AXIMO. Chaque action équivaut à 15 euros. (depuis le 18 décembre 2014)"
"Roger-Gérard Schwartzenberg","financial",,,,
"Roland Courteau","financial","Airbus groupe","740,1 EUR",,
"Roland Courteau","financial","OPCVM fructifonds France Action D'2DEC","3275,93 EUR",,
"Roland Courteau","financial","Orange","589,56 EUR",,
"Roland Courteau","financial","Technicolor RGPF","5,51 EUR",,
"Romain Colas","financial",,,,
"Ronan Dantec","financial","Entreprise individuelle de création et de diffusion d'expositions itinérantes : 'Votre-Expo'","100%","Bilan déficitaire",
"Ronan Dantec","financial","EURL 'Ciné-collections' (vente d'affiches et de photos sur le cinéma) entreprise conservée avec son stock mais mise en sommeil.","100%","Bilan déficitaire",
"Rudy Salles","financial",,,,
"Sabine Buis","financial",,,,
"Samia Ghali","financial",,,,
